Sensor_ID,Tag_Name
[17.16],TB2A Rolls close cmd
[17.17],TB2A Rolls close Hi pres
[17.18],TB2B Rolls close cmd
[17.19],TB2B Rolls close Hi pres
[17.28],TB1A Rolls close cmd
[17.29],TB1A Rolls close Hi pres
[17.30],TB1B Rolls close cmd
[17.31],TB1B Rolls close Hi pres
[17.35],TB1A Breaking cycle Active
[17.36],TB1B Breaking cycle Active
[17.37],TB2A Breaking cycle Active
[17.38],TB2B Breaking cycle Active
[17.59],HMD TWC2A On Delay (for cobble detection)
[17.60],HMD TWC2B On Delay (for cobble detection)
[21:0],DIV_SH2_SpeedRef(Drive Unit)
[21:2],DSH2_Theor_Position
[21:3],DSH2_Drive_Speed_Feedback
[21:4],DSH2_Theor_Speed
[21:6],SH3 Speed Ref to Drive
[21:8],SH3 PR SET Speed
[21:9],SH3 PR ACT Speed
[21:10],SH3 PR ACT Torque
[21:12],QTB_PR Act Speed
[21:13],QTB_PR Set  Speed
[21:14],QTB_PR Act Torque
[21:23],DIV_SH2_Act_Position (PID)
[21:25],DIV_SH2_SET_Position (PID)
[21:28],SH1_Act_Position(forPID)
[21:29],SH1_Teor_Position (for PID)
[21:30],SH2_Act_Position(forPID)
[21:31],SH2_Teor_Position (for PID)
[21:32],SH3_Act_Position(forPID)
[21:33],SH3_Teor_Position (for PID)
[21:43],APR_Headl_Position_BUF1
[21:44],APR_Headl_Position_BUF2
[21:45],SH1_WORK_DB DRIVE IN TORQUE FEEDBACK
[21:46],SH1_WORK_DB DRIVE IN SPEED FEEDBACK
[21:47],SH1_WORK_DB DRIVEOUT SPEED REF
[21:48],SH1_WORK_DB DRIVE IN CURRENT FEEDBACK
[21:49],SH2_WORK_DB DRIVE IN TORQUE FEEDBACK
[21:50],SH2_WORK_DB DRIVE IN CURRENT FEEDBACK
[21:51],SH2_WORK_DB DRIVEOUT SPEED REF
[21:52],SH2_WORK_DB DRIVE IN SPEED FEEDBACK
[21:55],SH3 Motor Actual Speed
[21:56],SH3 Motor Actual Torque
[21:57],SH3 Motor Actual Current
[21.8],HMD33_SH3_ExitSide
[21.10],ApronDiverter_Valve
[21.11],Apron_LIFT_Valve
[21.12],Apron_LOWERING_Valve
[21.14],SH1_PH0
[21.15],SH1_PH01
[21.102],SH1_HeadCount
[21.103],SH1_TailCount
[21.125],SH2_HeadCount
[21.126],SH2_TailCount
[21.184],SH2 PH0
[21.185],SH2 PH01
[21.186],SH2 PH1
[21.187],SH2 PH2
[22:3],SH1_HeadPosition
[22:4],SH1_TailPosition
[22:5],SH2_HeadPosition
[22:6],SH2_TailPosition
[22:7],SH3_HeadPosition
[22:8],SH3_TailPosition
[22:9],SH3_NEW_HeadPosition
[22:33],APR_Headl_Position_BUF3
[22:34],APR_Head_Position_BUF4
[22:35],APR_Headl_Position_BUF5
[9.101],MAT_PRESENCE
,OWS_OptBarMinSaleNr L2
